email,item_name,details
kmunoz@powell-duran.com,Premium King Mattress,"[""Premium"",""King"",""Mattress""]"
bmurillo@hotmail.com,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
bradley74@gmail.com,Standard Full Mattress,"[""Standard"",""Full"",""Mattress""]"
jameshardin@campbell-morris.biz,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
whardin@hotmail.com,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
emily88@cobb.com,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
craig61@luna-oliver.com,Standard King Mattress,"[""Standard"",""King"",""Mattress""]"
johnsonashley@mcclain.com,Standard Full Mattress,"[""Standard"",""Full"",""Mattress""]"
maxwelltara@edwards.com,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
maxwelltara@edwards.com,Standard Foam Pillow,"[""Standard"",""Foam"",""Pillow""]"
rojasjorge@yahoo.com,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
marmstrong46@hotmail.com,Standard Foam Pillow,"[""Standard"",""Foam"",""Pillow""]"
ndavis79@yahoo.com,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
xadams@salazar.com,Premium Twin Mattress,"[""Premium"",""Twin"",""Mattress""]"
chadjones@williams.com,Premium Queen Mattress,"[""Premium"",""Queen"",""Mattress""]"
chadjones@williams.com,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
johnsonderrick@yahoo.com,Standard King Mattress,"[""Standard"",""King"",""Mattress""]"
johnsonderrick@yahoo.com,King Down Pillow,"[""King"",""Down"",""Pillow""]"
johnsonderrick@yahoo.com,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
johnsonderrick@yahoo.com,Premium Twin Mattress,"[""Premium"",""Twin"",""Mattress""]"
johnsonderrick@yahoo.com,Standard Down Pillow,"[""Standard"",""Down"",""Pillow""]"
chavezbenjamin@byrd.com,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
ericzimmerman@valentine.com,Standard Full Mattress,"[""Standard"",""Full"",""Mattress""]"
gtravis@sosa.com,Standard King Mattress,"[""Standard"",""King"",""Mattress""]"
austin10@robinson-burton.com,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
wilsonteresa@walsh.net,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
hilljoshua43@hotmail.com,Standard Foam Pillow,"[""Standard"",""Foam"",""Pillow""]"
gcummings@mullins-smith.com,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
ashleylevy@gonzalez.com,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
jwilson@gmail.com,Standard King Mattress,"[""Standard"",""King"",""Mattress""]"
gayala@phillips.net,Standard Foam Pillow,"[""Standard"",""Foam"",""Pillow""]"
john1545@hotmail.com,Premium Twin Mattress,"[""Premium"",""Twin"",""Mattress""]"
annagray@kaufman.com,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
doylechristina@lopez.info,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
doylechristina@lopez.info,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
amy7022@gmail.com,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
darren48@lucas-hayes.net,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
kbennett@gmail.com,Premium Twin Mattress,"[""Premium"",""Twin"",""Mattress""]"
tammyroth@gmail.com,Standard King Mattress,"[""Standard"",""King"",""Mattress""]"
bennettzachary88@gmail.com,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
andrew5297@hotmail.com,Standard Foam Pillow,"[""Standard"",""Foam"",""Pillow""]"
barryandrew@roy-gonzalez.com,Premium King Mattress,"[""Premium"",""King"",""Mattress""]"
brittany447@yahoo.com,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
marieperez@yahoo.com,Premium Full Mattress,"[""Premium"",""Full"",""Mattress""]"
awilson@gmail.com,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
timothy72@roman-francis.info,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
tracigarcia@hotmail.com,Standard King Mattress,"[""Standard"",""King"",""Mattress""]"
stephenwilliams@pena.net,Standard King Mattress,"[""Standard"",""King"",""Mattress""]"
cjohnson@burgess-martin.biz,Premium Full Mattress,"[""Premium"",""Full"",""Mattress""]"
evankrause@yahoo.com,Standard King Mattress,"[""Standard"",""King"",""Mattress""]"
owerner@yahoo.com,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
owerner@yahoo.com,Standard Down Pillow,"[""Standard"",""Down"",""Pillow""]"
njordan@yahoo.com,Standard King Mattress,"[""Standard"",""King"",""Mattress""]"
smithmarvin@moran-gonzalez.biz,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
smithmarvin@moran-gonzalez.biz,Standard King Mattress,"[""Standard"",""King"",""Mattress""]"
yschwartz@gmail.com,Premium Full Mattress,"[""Premium"",""Full"",""Mattress""]"
oacevedo@hotmail.com,Premium Queen Mattress,"[""Premium"",""Queen"",""Mattress""]"
efowler@vaughan-vance.com,Premium Twin Mattress,"[""Premium"",""Twin"",""Mattress""]"
racheljackson@gmail.com,Standard King Mattress,"[""Standard"",""King"",""Mattress""]"
racheljackson@gmail.com,Standard Foam Pillow,"[""Standard"",""Foam"",""Pillow""]"
aliciaarias@washington.org,Standard Full Mattress,"[""Standard"",""Full"",""Mattress""]"
robertjacobs@hotmail.com,Premium Full Mattress,"[""Premium"",""Full"",""Mattress""]"
lreynolds@allison.com,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
chaveznatalie@hotmail.com,Premium Full Mattress,"[""Premium"",""Full"",""Mattress""]"
lewisjoseph@gmail.com,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
johnoliver@phelps.biz,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
dstout@keith.net,Standard King Mattress,"[""Standard"",""King"",""Mattress""]"
dstout@keith.net,Standard Foam Pillow,"[""Standard"",""Foam"",""Pillow""]"
mahoneykristi@hotmail.com,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
epittman@miller.com,Premium King Mattress,"[""Premium"",""King"",""Mattress""]"
sandrapatterson@hotmail.com,Standard King Mattress,"[""Standard"",""King"",""Mattress""]"
christopher69@gutierrez-flores.info,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
christopher69@gutierrez-flores.info,Standard Down Pillow,"[""Standard"",""Down"",""Pillow""]"
aprillee@mendez.com,Premium Queen Mattress,"[""Premium"",""Queen"",""Mattress""]"
aprillee@mendez.com,Standard Foam Pillow,"[""Standard"",""Foam"",""Pillow""]"
palmerjonathan@washington.com,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
palmerjonathan@washington.com,Standard Foam Pillow,"[""Standard"",""Foam"",""Pillow""]"
andersonamy@hawkins.net,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
maddenelizabeth@morgan.net,Premium Twin Mattress,"[""Premium"",""Twin"",""Mattress""]"
